time,y_scalar,y_gain
4.28,-0.9037315214,-1.807463043
4.29,-0.9079672606,-1.815934521
4.3,-0.9121122039,-1.824224408
4.31,-0.9161659367,-1.832331873
4.32,-0.9201280538,-1.840256108
4.33,-0.9239981587,-1.847996317
4.34,-0.9277758646,-1.855551729
4.35,-0.9314607938,-1.862921588
4.36,-0.9350525776,-1.870105155
4.37,-0.9385508569,-1.877101714
4.38,-0.9419552819,-1.883910564
4.39,-0.9452655122,-1.890531024
4.4,-0.9484812167,-1.896962433
4.41,-0.9516020739,-1.903204148
4.42,-0.9546277717,-1.909255543
4.43,-0.9575580074,-1.915116015
4.44,-0.9603924882,-1.920784976
4.45,-0.9631309306,-1.926261861
4.46,-0.9657730606,-1.931546121
4.47,-0.9683186142,-1.936637228
4.48,-0.9707673367,-1.941534673
4.49,-0.9731189832,-1.946237966
4.5,-0.9753733187,-1.950746637
4.51,-0.9775301177,-1.955060235
4.52,-0.9795891644,-1.959178329
4.53,-0.9815502531,-1.963100506
4.54,-0.9834131875,-1.966826375
4.55,-0.9851777815,-1.970355563
4.56,-0.9868438585,-1.973687717
4.57,-0.9884112519,-1.976822504
4.58,-0.9898798051,-1.97975961
4.59,-0.9912493711,-1.982498742
4.6,-0.9925198129,-1.985039626
4.61,-0.9936910036,-1.987382007
4.62,-0.9947628261,-1.989525652
4.63,-0.9957351731,-1.991470346
4.64,-0.9966079474,-1.993215895
4.65,-0.9973810617,-1.994762123
4.66,-0.9980544388,-1.996108878
4.67,-0.9986280112,-1.997256022
4.68,-0.9991017217,-1.998203443
4.69,-0.9994755228,-1.998951046
4.7,-0.9997493772,-1.999498754
4.71,-0.9999232576,-1.999846515
4.72,-0.9999971464,-1.999994293
4.73,-0.9999710363,-1.999942073
4.74,-0.99984493,-1.99968986
4.75,-0.99961884,-1.99923768
4.76,-0.999292789,-1.998585578
4.77,-0.9988668095,-1.997733619
4.78,-0.9983409442,-1.996681888
4.79,-0.9977152456,-1.995430491
4.8,-0.9969897763,-1.993979553
4.81,-0.9961646088,-1.992329218
4.82,-0.9952398258,-1.990479652
4.83,-0.9942155195,-1.988431039
4.84,-0.9930917926,-1.986183585
4.85,-0.9918687573,-1.983737515
4.86,-0.990546536,-1.981093072
4.87,-0.9891252608,-1.978250522
4.88,-0.9876050739,-1.975210148
4.89,-0.9859861274,-1.971972255
4.9,-0.984268583,-1.968537166
4.91,-0.9824526126,-1.964905225
4.92,-0.9805383978,-1.961076796
4.93,-0.9785261299,-1.95705226
4.94,-0.9764160103,-1.952832021
4.95,-0.9742082499,-1.9484165
4.96,-0.9719030694,-1.943806139
4.97,-0.9695006995,-1.939001399
4.98,-0.9670013802,-1.93400276
4.99,-0.9644053617,-1.928810723
5,-0.9617129034,-1.923425807
5.01,-0.9589242747,-1.917848549
5.02,-0.9560397543,-1.912079509
5.03,-0.9530596307,-1.906119261
5.04,-0.949984202,-1.899968404
5.05,-0.9468137756,-1.893627551
5.06,-0.9435486686,-1.887097337
5.07,-0.9401892076,-1.880378415
5.08,-0.9367357284,-1.873471457
5.09,-0.9331885765,-1.866377153
5.1,-0.9295481064,-1.859096213
5.11,-0.9258146823,-1.851629365
5.12,-0.9219886775,-1.843977355
5.13,-0.9180704747,-1.836140949
5.14,-0.9140604655,-1.828120931
5.15,-0.9099590511,-1.819918102
5.16,-0.9057666415,-1.811533283
5.17,-0.901483656,-1.802967312
5.18,-0.8971105228,-1.794221046
5.19,-0.8926476794,-1.785295359
5.2,-0.888095572,-1.776191144
5.21,-0.8834546557,-1.766909311
5.22,-0.8787253947,-1.757450789
5.23,-0.8739082619,-1.747816524
5.24,-0.869003739,-1.738007478
