time,x,u
2.09,0.310499965,0.1679169387
2.1,0.3090812402,0.1679169387
2.11,0.307640065,0.1642419249
2.12,0.3062132296,0.1642419249
2.13,0.3048005916,0.1642419249
2.14,0.3034020095,0.1642419249
2.15,0.3020173435,0.1642419249
2.16,0.3006464552,0.1642419249
2.17,0.2992892074,0.1642419249
2.18,0.2979454645,0.1642419249
2.19,0.296615092,0.1642419249
2.2,0.295297957,0.1642419249
2.21,0.293960226,0.160854876
2.22,0.2926358057,0.160854876
2.23,0.2913245635,0.160854876
2.24,0.2900263684,0.160854876
2.25,0.2887410906,0.160854876
2.26,0.2874686015,0.160854876
2.27,0.2862087739,0.160854876
2.28,0.2849614818,0.160854876
2.29,0.2837266004,0.160854876
2.3,0.2825040063,0.160854876
2.31,0.2812624915,0.1577307284
2.32,0.2800333299,0.1577307284
2.33,0.2788163987,0.1577307284
2.34,0.2776115762,0.1577307284
2.35,0.2764187418,0.1577307284
2.36,0.2752377763,0.1577307284
2.37,0.2740685617,0.1577307284
2.38,0.2729109809,0.1577307284
2.39,0.2717649182,0.1577307284
2.4,0.2706302591,0.1577307284
2.41,0.2694781973,0.1548470855
2.42,0.2683375987,0.1548470855
2.43,0.2672083492,0.1548470855
2.44,0.2660903359,0.1548470855
2.45,0.2649834471,0.1548470855
2.46,0.263887572,0.1548470855
2.47,0.262802601,0.1548470855
2.48,0.2617284257,0.1548470855
2.49,0.2606649386,0.1548470855
2.5,0.2596120334,0.1548470855
2.51,0.2585431033,0.1521836668
2.52,0.2574848092,0.1521836668
2.53,0.2564370453,0.1521836668
2.54,0.2553997069,0.1521836668
2.55,0.2543726901,0.1521836668
2.56,0.2533558923,0.1521836668
2.57,0.2523492119,0.1521836668
2.58,0.2513525481,0.1521836668
2.59,0.2503658012,0.1521836668
2.6,0.2493888726,0.1521836668
2.61,0.2483971745,0.1497223824
2.62,0.2474153439,0.1497223824
2.63,0.2464432827,0.1497223824
2.64,0.2454808937,0.1497223824
2.65,0.2445280806,0.1497223824
2.66,0.2435847481,0.1497223824
