time,y_real,y_int,y_bool,y_over
6.95,1.221194756,6,0,1
6.96,1.236972256,6,0,1
6.97,1.252626061,6,0,1
6.98,1.268154603,6,0,1
6.99,1.283556332,6,0,1
7,1.298829706,6,0,1
7.01,1.313973197,7,0,1
7.02,1.328985293,7,0,1
7.03,1.343864491,7,0,1
7.04,1.358609304,7,0,1
7.05,1.373218257,7,0,1
7.06,1.38768989,7,0,1
7.07,1.402022754,7,0,1
7.08,1.416215418,7,0,1
7.09,1.430266461,7,0,1
7.1,1.444174479,7,0,1
7.11,1.45793808,7,0,1
7.12,1.471555889,7,0,1
7.13,1.485026544,7,0,1
7.14,1.498348697,7,0,1
7.15,1.511521016,7,0,1
7.16,1.524542185,7,0,1
7.17,1.5374109,7,0,1
7.18,1.550125876,7,0,1
7.19,1.562685841,7,0,1
7.2,1.575089538,7,0,1
7.21,1.587335728,7,0,1
7.22,1.599423185,7,0,1
7.23,1.611350701,7,0,1
7.24,1.623117084,7,0,1
7.25,1.634721156,7,0,1
7.26,1.646161758,7,0,1
7.27,1.657437745,7,0,1
7.28,1.668547989,7,0,1
7.29,1.67949138,7,0,1
7.3,1.690266823,7,0,1
7.31,1.700873241,7,0,1
7.32,1.711309573,7,0,1
7.33,1.721574776,7,0,1
7.34,1.731667822,7,0,1
7.35,1.741587703,7,0,1
7.36,1.751333427,7,0,1
7.37,1.760904019,7,0,1
7.38,1.770298522,7,0,1
7.39,1.779515997,7,0,1
7.4,1.788555521,7,0,1
7.41,1.797416192,7,0,1
7.42,1.806097122,7,0,1
7.43,1.814597444,7,0,1
7.44,1.822916308,7,0,1
7.45,1.831052882,7,0,1
7.46,1.839006352,7,0,1
7.47,1.846775923,7,0,1
7.48,1.854360817,7,0,1
7.49,1.861760278,7,0,1
7.5,1.868973564,7,0,1
7.51,1.875999954,7,0,1
7.52,1.882838745,7,0,1
7.53,1.889489254,7,0,1
7.54,1.895950816,7,0,1
7.55,1.902222785,7,0,1
7.56,1.908304533,7,0,1
7.57,1.914195451,7,0,1
7.58,1.919894952,7,0,1
7.59,1.925402465,7,0,1
7.6,1.93071744,7,0,1
7.61,1.935839344,7,0,1
7.62,1.940767666,7,0,1
7.63,1.945501913,7,0,1
7.64,1.950041611,7,0,1
7.65,1.954386307,7,0,1
7.66,1.958535565,7,0,1
7.67,1.962488972,7,0,1
7.68,1.966246132,7,0,1
7.69,1.969806668,7,0,1
7.7,1.973170226,7,0,1
7.71,1.976336468,7,0,1
7.72,1.979305078,7,0,1
7.73,1.982075759,7,0,1
7.74,1.984648234,7,0,1
7.75,1.987022247,7,0,1
7.76,1.989197558,7,0,1
7.77,1.991173952,7,0,1
7.78,1.992951229,7,0,1
7.79,1.994529214,7,0,1
7.8,1.995907747,7,0,1
7.81,1.997086691,7,0,1
7.82,1.998065928,7,0,1
7.83,1.99884536,7,0,1
7.84,1.999424909,7,0,1
7.85,1.999804517,7,0,1
7.86,1.999984147,7,0,1
7.87,1.999963779,7,0,1
7.88,1.999743417,7,0,1
7.89,1.999323083,7,0,1
7.9,1.998702818,7,0,1
7.91,1.997882684,7,0,1
7.92,1.996862763,7,0,1
7.93,1.995643158,7,0,1
7.94,1.99422399,7,0,1
7.95,1.992605402,7,0,1
7.96,1.990787555,7,0,1
7.97,1.98877063,7,0,1
7.98,1.98655483,7,0,1
7.99,1.984140376,7,0,1
8,1.98152751,7,0,1
8.01,1.978716493,8,0,1
8.02,1.975707606,8,0,1
8.03,1.97250115,8,0,1
8.04,1.969097445,8,0,1
8.05,1.965496832,8,0,1
8.06,1.961699671,8,0,1
8.07,1.957706342,8,0,1
8.08,1.953517244,8,0,1
8.09,1.949132795,8,0,1
8.1,1.944553435,8,0,1
8.11,1.939779622,8,0,1
8.12,1.934811832,8,0,1
8.13,1.929650562,8,0,1
8.14,1.924296329,8,0,1
8.15,1.918749668,8,0,1
8.16,1.913011133,8,0,1
8.17,1.907081299,8,0,1
8.18,1.900960759,8,0,1
8.19,1.894650124,8,0,1
8.2,1.888150025,8,0,1
8.21,1.881461113,8,0,1
8.22,1.874584057,8,0,1
8.23,1.867519544,8,0,1
8.24,1.86026828,8,0,1
8.25,1.852830991,8,0,1
8.26,1.84520842,8,0,1
8.27,1.837401331,8,0,1
8.28,1.829410502,8,0,1
8.29,1.821236734,8,0,1
8.3,1.812880844,8,0,1
8.31,1.804343668,8,0,1
8.32,1.795626058,8,0,1
8.33,1.786728887,8,0,1
8.34,1.777653045,8,0,1
8.35,1.768399439,8,0,1
8.36,1.758968995,8,0,1
8.37,1.749362655,8,0,1
