time,T,heater
9.54,49.03633785,1
9.55,49.09101934,1
9.56,49.14542811,1
9.57,49.19956551,1
9.58,49.2534329,1
9.59,49.30703163,1
9.6,49.36036303,1
9.61,49.41342844,1
9.62,49.46622919,1
9.63,49.51876659,1
9.64,49.57104196,1
9.65,49.62305661,1
9.66,49.67481183,1
9.67,49.72630892,1
9.68,49.77754917,1
9.69,49.82853385,1
9.7,49.87926425,1
9.71,49.92974163,1
9.72,49.97996725,1
9.73,50.02994238,1
9.74,50.07966825,1
9.75,50.12914611,1
9.76,50.1783772,1
9.77,50.22736274,1
9.78,50.27610398,1
9.79,50.32460211,1
9.8,50.37285836,1
9.81,50.42087393,1
9.82,50.46865002,1
9.83,50.51618782,1
9.84,50.56348854,1
9.85,50.61055333,1
9.86,50.65738339,1
9.87,50.70397989,1
9.88,50.75034398,1
9.89,50.79647683,1
9.9,50.8423796,1
9.91,50.88805342,1
9.92,50.93349944,1
9.93,50.9787188,1
9.94,50.91832316,0
9.95,50.76411738,0
9.96,50.61068071,0
9.97,50.4580093,0
9.98,50.30609935,0
9.99,50.15494704,0
10,50.00454862,0
