time,amp_i,speed_w_rel
5.05,4.012382096,170.5383219
5.06,4.001612219,170.7216082
5.07,3.990874411,170.9043385
5.08,3.980168586,171.0865145
5.09,3.969494659,171.2681378
5.1,3.958852545,171.4492101
5.11,3.948242158,171.6297329
5.12,3.937663413,171.809708
5.13,3.927116226,171.989137
5.14,3.916600511,172.1680215
5.15,3.906116183,172.3463632
5.16,3.895663158,172.5241636
5.17,3.88524135,172.7014243
5.18,3.874850676,172.8781471
5.19,3.86449105,173.0543335
5.2,3.854162388,173.229985
5.21,3.843864605,173.4051034
5.22,3.833597618,173.5796901
5.23,3.823361341,173.7537469
5.24,3.813155692,173.9272752
5.25,3.802980585,174.1002767
5.26,3.792835936,174.2727529
5.27,3.782721663,174.4447054
5.28,3.77263768,174.6161358
5.29,3.762583905,174.7870456
5.3,3.752560254,174.9574364
5.31,3.742566644,175.1273098
5.32,3.732602991,175.2966673
5.33,3.722669211,175.4655105
5.34,3.712765223,175.6338408
5.35,3.702890943,175.8016599
5.36,3.693046287,175.9689692
5.37,3.683231175,176.1357704
5.38,3.673445522,176.3020648
5.39,3.663689246,176.4678542
5.4,3.653962266,176.6331398
5.41,3.644264498,176.7979234
5.42,3.634595861,176.9622064
5.43,3.624956273,177.1259902
5.44,3.615345652,177.2892764
5.45,3.605763917,177.4520666
5.46,3.596210985,177.6143621
5.47,3.586686776,177.7761644
5.48,3.577191208,177.9374751
5.49,3.5677242,178.0982957
5.5,3.558285671,178.2586275
5.51,3.548875541,178.4184722
5.52,3.539493728,178.577831
5.53,3.530140153,178.7367056
5.54,3.520814734,178.8950973
5.55,3.511517392,179.0530077
5.56,3.502248046,179.2104381
5.57,3.493006617,179.36739
5.58,3.483793025,179.5238649
5.59,3.47460719,179.6798642
5.6,3.465449032,179.8353893
5.61,3.456318473,179.9904416
5.62,3.447215434,180.1450227
5.63,3.438139834,180.2991338
5.64,3.429091596,180.4527764
5.65,3.420070641,180.605952
5.66,3.41107689,180.7586619
5.67,3.402110266,180.9109076
