time,x
6.21,-1.615622003
6.22,-1.615916327
6.23,-1.616054792
6.24,-1.616037165
6.25,-1.615863232
6.26,-1.615532792
6.27,-1.615045662
6.28,-1.614401675
6.29,-1.61360068
6.3,-1.612642542
6.31,-1.611527144
6.32,-1.610254383
6.33,-1.608824175
6.34,-1.607236451
6.35,-1.605491157
6.36,-1.603588259
6.37,-1.601527737
6.38,-1.599309587
6.39,-1.596933824
6.4,-1.594400478
6.41,-1.591709596
6.42,-1.588861242
6.43,-1.585855494
6.44,-1.582692451
6.45,-1.579372225
6.46,-1.575894946
6.47,-1.57226076
6.48,-1.568469832
6.49,-1.56452234
6.5,-1.560418481
6.51,-1.556158468
6.52,-1.551742531
6.53,-1.547170916
6.54,-1.542443885
6.55,-1.537561719
6.56,-1.532524713
6.57,-1.527333179
6.58,-1.521987447
6.59,-1.516487863
6.6,-1.510834788
6.61,-1.5050286
6.62,-1.499069696
6.63,-1.492958485
6.64,-1.486695397
6.65,-1.480280875
6.66,-1.473715379
6.67,-1.466999387
6.68,-1.460133392
6.69,-1.453117902
6.7,-1.445953443
6.71,-1.438640557
6.72,-1.431179801
6.73,-1.42357175
6.74,-1.415816992
6.75,-1.407916133
6.76,-1.399869796
6.77,-1.391678617
6.78,-1.38334325
6.79,-1.374864364
6.8,-1.366242643
6.81,-1.357478788
6.82,-1.348573514
6.83,-1.339527554
6.84,-1.330341653
6.85,-1.321016575
6.86,-1.311553096
6.87,-1.301952009
6.88,-1.292214123
6.89,-1.28234026
6.9,-1.272331258
6.91,-1.262187971
6.92,-1.251911266
6.93,-1.241502026
6.94,-1.230961149
6.95,-1.220289545
6.96,-1.209488143
6.97,-1.198557882
6.98,-1.187499719
6.99,-1.176314622
7,-1.165003576
7.01,-1.153567579
7.02,-1.142007643
7.03,-1.130324793
7.04,-1.118520068
7.05,-1.106594524
7.06,-1.094549225
7.07,-1.082385254
7.08,-1.070103703
7.09,-1.057705681
7.1,-1.045192306
7.11,-1.032564714
7.12,-1.019824049
7.13,-1.006971472
7.14,-0.9940081553
7.15,-0.9809352825
7.16,-0.9677540512
7.17,-0.9544656711
7.18,-0.9410713641
7.19,-0.9275723644
7.2,-0.9139699181
7.21,-0.9002652832
7.22,-0.8864597296
7.23,-0.872554539
7.24,-0.8585510043
7.25,-0.8444504303
7.26,-0.8302541326
7.27,-0.8159634384
7.28,-0.8015796857
7.29,-0.7871042233
7.3,-0.7725384111
7.31,-0.7578836194
7.32,-0.743141229
7.33,-0.7283126311
7.34,-0.7133992272
7.35,-0.6984024288
7.36,-0.6833236574
7.37,-0.6681643441
7.38,-0.6529259298
7.39,-0.6376098651
7.4,-0.6222176097
7.41,-0.6067506325
7.42,-0.5912104116
7.43,-0.5755984341
7.44,-0.5599161956
7.45,-0.5441652005
7.46,-0.5283469618
7.47,-0.5124630004
7.48,-0.4965148458
7.49,-0.4805040353
7.5,-0.464432114
7.51,-0.4483006348
7.52,-0.4321111581
7.53,-0.4158652517
7.54,-0.3995644905
7.55,-0.3832104566
7.56,-0.366804739
7.57,-0.3503489332
7.58,-0.3338446417
7.59,-0.3172934729
7.6,-0.3006970419
7.61,-0.2840569695
7.62,-0.2673748827
7.63,-0.2506524141
7.64,-0.2338912019
7.65,-0.2170928896
7.66,-0.2002591262
7.67,-0.1833915655
7.68,-0.1664918664
7.69,-0.1495616925
7.7,-0.1326027117
7.71,-0.1156165967
7.72,-0.09860502414
7.73,-0.08156967474
7.74,-0.06451223314
7.75,-0.04743438765
7.76,-0.03033783009
7.77,-0.01322425564
7.78,0.00390463736
7.79,0.02104714758
7.8,0.03820157086
7.81,0.05536620042
7.82,0.072539327
7.83,0.08971923906
7.84,0.106904223
7.85,0.1240925631
7.86,0.1412825422
7.87,0.1584724413
